"Year","Country","Region","Location Name","Latitude","Longitude","Focal Depth (km)","Mag","Ms","MMI Int","Deaths","Death Description","Damage Description","Houses Destroyed Description"
"1956","IRAN","140","IRAN:  BASTAK","27.407","54.462","15","6.4","6.2","8","410","3","2",""
"1957","TUNISIA","15","TUNISIA:  SIDI ABID,SIDI TOUIL (LA MEDJA),CAILLOUX","36.2","8.9","","5.6","5.6","","13","1","2",""
"1957","TAIWAN","30","TAIWAN:  HUALIEN, TAIPEI","23.9","121.6","69","7.2","7.2","","11","1","2",""
"1957","GREECE","130","GREECE:  STEPHANOVIKION-VELESTNON (MAGNESIA)","39.4","22.8","","7","7","10","2","1","2",""
"1957","IRAN","140","IRAN:  KACHU MESQAL","33.4","52.5","","","","7","16","1","2","3"
"1957","TURKEY","140","TURKEY:  FETHIYE (LYCIA, ASIA MINOR)","36.4","28.55","41","7.1","","10","18","1","4","4"
"1957","TURKEY","140","TURKEY:  ABANT","40.7","30.9","","7.1","","9","500","3","3",""
"1957","IRAN","140","IRAN:  HAZANDERAN, ABEGARM","36.277","52.778","15","6.6","6.8","9","1100","4","3",""
"1957","MEXICO","150","MEXICO:  ACAPULCO,MEXICO CITY","16.5","-99.1","25","7.9","7.9","7","65","2","4","3"
"1957","IRAN","140","IRAN:  JAHROM","28.3","53.3","","","","","","3","3",""
"1957","MONGOLIA","40","MONGOLIA","45.5","99.5","33","8.1","8.3","11","30","1","2",""
"1957","IRAN","140","IRAN:  FARSINAJ","34.388","47.748","15","6.5","6.7","8","1200","4","3",""
"1958","PERU","160","PERU: AREQUIPA","-16.5","-72","60","7.3","","9","28","1","2",""
"1958","IRAN","140","IRAN","36.5","53","","","","","","3","2",""
"1958","COLOMBIA","160","COLOMBIA-ECUADOR","1.5","-79.5","60","7.6","7.6","9","111","3","2","2"
"1958","COLOMBIA","160","COLOMBIA","2","-79","","6.9","6.9","","","1","3",""
"1958","IRAN","140","IRAN:  FIRUZABAD","34.29","47.867","15","6.7","6.6","7","132","3","3","4"
"1958","PERU","160","PERU:  S","-18","-65","","","","","4","1","4",""
"1958","CHILE","160","CHILE-ARGENTINA","-33.785","-70.112","","6.8","6.8","","7","1","3",""
"1958","IRAN","140","IRAN","36","49","","5.2","5.2","6","16","1","3",""
"1958","INDONESIA","60","INDONESIA:  JAVA:  MALANG","-9.5","112.5","100","6.7","6.7","8","8","1","2","2"
"1959","TAIWAN","30","TAIWAN:  TAIPEI","24.78","122.7","150","7.5","7.5","","2","1","1",""
"1959","RUSSIA","50","RUSSIA:  NEAR EAST COAST OF KAMCHATKA","52.5","159.5","60","8.2","8","10","1","1","2","2"
"1959","BOLIVIA","160","BOLIVIA-NORTHERN CHILE","-20.369","-68","112","7.5","7.5","","1","1","1",""
"1959","TAIWAN","30","TAIWAN","22.18","121.13","60","7","7","","16","1","3","3"
"1959","USA","150","MONTANA:  HEBGEN LAKE","44.712","-111.215","5","7.7","","10","28","1","3",""
"1959","MEXICO","150","MEXICO:  GULF OF CAMPECHE","18.3","-94.4","","6.9","6.9","","25","1","3","3"
"1959","ALBANIA","130","ALBANIA","40.9","19.8","11","6.1","","10","2","1","3",""
"1959","TURKEY","140","TURKEY:  NINIA","39.1","41.6","","6.2","","","18","1","2",""
"1959","CHINA","40","CHINA:  XINGJIANG","38.75","75.317","","6.4","6.4","","","1","1",""
"1959","PERU","160","PERU:  AYACUCHO,POMABAMBA,MOYOBAMBA,HUAHUAPUQUIO","-13.5","-74","","","","7","7","1","2",""
"1960","PERU","160","PERU:  AREQUIPA,CHUQUIBAMBA,CARAVELI,COTAHUASI","-15.75","-72.75","160","7.8","7.8","10","63","2","3","3"
"1960","PERU","160","PERU:  LIMA,NAZCA,ICA,HUANCAVELIC,PALPA,HUAITARA","-15","-75","150","7","","","63","2","1",""
"1960","ALGERIA","15","ALGERIA:  MELOUZA","36","4.1","33","5.6","5.6","","47","1","2",""
"1960","MOROCCO","15","MOROCCO:  AGADIR","30.45","-9.62","33","5.9","5.9","10","13100","4","4","3"
"1960","IRAN","140","IRAN:  LAR","27.814","54.497","15","5.9","5.8","7","420","3","3",""
"1960","CHILE","160","CHILE:  CENTRAL","-37.872","-73.243","35","8.2","7.3","","","1","1",""
"1960","CHILE","160","CHILE:  PUERTO MONTT, VALDIVIA","-38.143","-73.407","33","9.5","8.5","12","2000","4","4","4"
"1960","GREECE","130","GREECE-ALBANIA","40","20","","6.5","","","8","1","2",""
"1960","ECUADOR","160","ECUADOR","-1.5","-79","21","","","","11","1","1",""
"1960","CONGO","10","CONGO:  LAKE TANGANYIKA","-3.6","29","28","6.6","6.6","","24","1","2",""
"1960","PHILIPPINES","170","PHILIPPINES:  PANAY","11.1","122.3","","","","","3","1","2",""
"1960","CHILE","160","CHILE:  CONCEPCION","-38.5","-75.1","55","7.4","7.4","","","1","1",""
"1961","JAPAN","30","JAPAN:  MIYAZAKI","31.6","131.8","74","7.3","7.3","","2","1","2","3"
"1961","INDONESIA","60","INDONESIA:  FLORES:  ENDEH","-8.2","122","74","6.5","6.5","8","2","1","2",""
"1961","ITALY","130","ITALY:  SICILY","38","15.3","","","","","15","1","2",""
"1961","ETHIOPIA","10","ETHIOPIA:  KARAKORE","10.4","39.9","33","6.5","6.5","9","30","1","2",""
"1961","IRAN","140","IRAN:  DEHKUYEH,KHANEH,LAR,SHAGHEB,NOKHRIZ,BIGHU","27.861","54.528","15","6.4","6.5","8","60","2","3","3"
"1961","IRAN","140","IRAN","33.5","49.4","","","","","5","1","2",""
"1961","JAPAN","30","JAPAN:  HONSHU:  W COAST","36","136.7","","7.3","","","10","1","2",""
"1961","IRAN","140","IRAN","33.6","48.1","33","","","","2","1","2",""
"1961","CHILE","160","CHILE:  VALDIVIA, CURICO","-36.7","-73","15","6.5","6.5","","","1","1",""
"1961","COLOMBIA","160","COLOMBIA: EJE CAFETERO","4.49","-75.51","163","6.8","6.8","8","23","1","2","1"
"1962","CROATIA","130","BALKANS NW:  CROATIA","43.3","17.1","33","5.9","","8","4","1","2",""
"1962","CROATIA","130","BALKANS NW:  CROATIA","43.3","17.1","33","6.1","","9","1","1","2","4"
"1962","ALBANIA","130","ALBANIA","40.9","19.5","33","6","","","15","1","2",""
"1962","CHINA","30","CHINA:  GUANGDONG PROVINCE","23.72","114.67","25","6.1","6.1","8","1","1","3","4"
"1962","IRAN","140","IRAN:  MUSSAVIEH","33.32","58.845","15","5.8","5.5","7","20","1","2",""
"1962","PERU","160","PERU:  CASMA,HUARAZ,QUIRUVILCA,TRUJILLO","-10","-79","39","6.3","","","9","1","2",""
"1962","JAPAN","30","JAPAN:  HONSHU:  SENDAI","38.8","140.9","104","6.8","6.8","","1","1","2",""
"1962","MEXICO","150","MEXICO:  S","17.2","-99.6","40","7","7","8","4","1","2","2"
"1962","MEXICO","150","MEXICO:  S","17.2","-99.5","33","7.2","7.2","","3","1","2","2"
"1962","COLOMBIA","160","COLOMBIA:  MISTRATO, MANIZALES","5.2","-76.4","69","6.8","6.8","","47","1","3",""
"1962","ITALY","130","ITALY:  S","41.4","15.5","34","6.1","","","16","1","2",""
"1962","GREECE","130","GREECE:  S","37.8","22.9","100","6.8","","","1","1","2",""
"1962","IRAN","140","IRAN:   BUYIN-ZARA","35.63","49.87","27","7.2","7.2","9","12225","4","4","4"
"1962","TURKEY","140","TURKEY:  IGDIR","39.9","43.9","","5.5","","6","1","1","2",""
"1962","IRAN","140","IRAN:  TORBAT HEYDARIYEH, AKHMEDABAD","35.1","58.7","8","5","5","8","6","1","2",""
"1963","IRAN","140","IRAN:  KHENDODZHAN, DAKHNE-UDZHAK","36.9","57.8","3","4.5","","9","4","1","2",""
"1963","TAIWAN","30","TAIWAN:  TAIPEI, HSINCH","24.5","122.1","47","7.3","7.3","","15","1","2","2"
"1963","LIBYA","15","LIBYA:  BARCE (AL MARJ)","32.6","21","5","5.4","5.4","","300","3","2","3"
"1963","IRAN","140","IRAN:  KARKHANEH","34.4","47.9","40","7.2","","","100","2","3",""
"1963","IRAN","140","IRAN:  HENDOJAN","37","57.9","33","7","","","4","1","2","2"
"1963","MACEDONIA","130","BALKANS NW:  MACEDONIA:  SKOPJE","42.1","21.3","5","6","6","10","1070","4","4","4"
"1963","IRAN","140","IRAN:  GAHKOM,LAIGAZAN,PATKUIYEH,GOLRUIYEH,GANJ","28.2","55.7","46","5.2","","","5","1","2",""
"1963","CHINA","40","CHINA:  XINJIANG","39.8","74.2","","6.5","6.5","","1","1","1","1"
"1963","INDIA","60","INDIA:  KASHMIR:  SW","33.9","74.8","25","5.3","","","80","2","2",""
"1963","TURKEY","140","TURKEY:  YALOVA:  CINARCIK","40.75","29","19","6.1","6.1","","1","1","2","1"
"1963","PERU","160","PERU:  HUAYLLACAYAN,CAJACAY,MALYAS,MALVAS,HUARAZ","-10.385","-78.022","75","7","7","","1","1","2",""
"1964","INDONESIA","170","INDONESIA:  SULAWESI:  PINRANG","-3.7","119.4","90","5.2","5.2","","8","1","2",""
"1964","TAIWAN","30","TAIWAN:  TAINAN","23.2","120.6","33","7","7","","107","3","3","4"
"1964","USA","150","ALASKA","61.017","-147.648","33","9.2","8.4","10","15","1","4","3"
"1964","CROATIA","130","BALKANS NW:  CROATIA","45.3","18.1","32","6","","8","3","1","3",""
"1964","TANZANIA","10","TANZANIA","-4","34.9","33","6","","","1","1","3",""
"1964","TURKEY","140","TURKEY:  MALATYA,ADIYAMAN","38.1","38.3","","6.1","","8","8","1","2",""
"1964","JAPAN","30","JAPAN:  HONSHU:  W COAST","38.65","139.2","40","7.5","","5","26","1","4","4"
"1964","MEXICO","150","MEXICO:  GUERRERO","18.3","-100.4","100","7.4","","","78","2","3",""
"1964","TURKEY","140","TURKEY:  MANYAS, BURSA, BALIKESIR","40.3","28.2","15","7","","10","19","1","2",""
"1965","ALGERIA","15","ALGERIA:  M'SILA","35.7","4.4","10","5.5","5.5","","4","1","2","4"
"1965","INDONESIA","170","INDONESIA:  SANANA ISLAND","-2.4","126.1","6","7.6","7.6","","71","2","2","4"
"1965","IRAN","140","IRAN:  NW","37.6","47.1","52","5.1","","","20","1","3",""
"1965","GREECE","130","GREECE:  ALONISOS, SKOPELOS","39.4","24","18","6.3","6.3","","38","1","3",""
"1965","CHILE","160","CHILE:  CENTRAL","-32.4","-71.2","61","7.3","","","400","3","4",""
"1965","GREECE","130","GREECE","38.6","22.4","78","7.1","","10","6","1","2",""
"1965","GREECE","130","GREECE:  SOUTHERN","37.7","21.8","34","6.2","6.2","10","32","1","3","3"
"1965","JAPAN","30","JAPAN:  AICHI, SHIZOUKA PREFECTURES","34.9","138","36","6","6","","1","1","1",""
"1965","USA","150","WASHINGTON:  SEATTLE","47.4","-122.3","59","6.6","6.6","8","7","1","4",""
"1965","EL SALVADOR","100","EL SALVADOR:  SAN MARCOS","13.5","-89.3","23","6","6","6","125","3","4",""
"1965","GREECE","130","NORTH CORINTH GULF","38.267","22.3","18","6.3","6.3","8","1","1","2",""
"1965","MEXICO","150","MEXICO:  ME\XICO CITY, OAXACA","16.3","-95.8","28","7.8","7.8","","6","1","1",""
"1966","GREECE","130","GREECE:  CENTRAL","39.2","22","38","6.3","6.3","","1","1","2","3"
"1966","TURKEY","140","TURKEY:  VARTO, MUS","39.1","41.6","38","6","","8","10","1","3",""
"1966","CHINA","30","CHINA:  HEBEI PROVINCE","37.35","114.92","8","7.4","7.4","9","","3","4","4"
"1966","TAIWAN","30","TAIWAN","24.1","122.6","48","8","8","","7","1","2","2"
"1966","UGANDA","10","UGANDA:  KICHWAMBA, BONDIBOGYO","0.6","30.2","36","7","7","","140","3","2",""
"1966","CHINA","30","CHINA:  HEBEI PROVINCE","37.5","115.1","15","7.6","7.6","10","","3","4","4"
"1966","UZBEKISTAN","40","UZBEKISTAN:  TASHKENT","41.2","69.1","","","","","10","1","4",""
"1966","NEPAL","60","NEPAL-INDIA","29.554","80.854","23","6.3","6.3","8","80","2","2","4"
"1966","TURKEY","140","TURKEY:  BAGICI","38.9","41.3","64","4.6","4.6","","12","1","3",""
"1966","INDIA","60","INDIA:  N","28.7","78.9","53","5.6","","","15","1","1",""
"1966","TURKEY","140","TURKEY:  VARTO","39.2","41.6","24","6.8","","9","2394","4","3",""
"1966","GREECE","130","GREECE:  SOUTHERN","37.5","22.1","17","5.9","5.9","8","1","1","3","3"
"1966","COLOMBIA","160","COLOMBIA","4.62","-73.98","15","5.3","","7","6","1","2","3"
"1966","PERU","160","PERU:  LIMA,HUACHO,HUAURA, CHANCAY,SUPE,SAN NICOLAS","-10.748","-78.638","38","8.1","7.5","9","110","3","4",""
"1966","GREECE","130","GREECE:  CENTRAL","39.2","21.2","20","5.7","5.7","","1","1","3","3"
"1966","CHILE","160","CHILE:  TALTAL, CATALINA","-25.5","-70.7","47","7.8","7.8","8","3","1","1","3"
"1967","COLOMBIA","160","COLOMBIA:  HUILA, NEIVA, RIVERA,SAN ANTONIO","2.85","-74.8","55","7","","10","98","2","3",""
"1967","INDONESIA","60","INDONESIA:  JAVA:  DAMPIT,GONDANG,TRENGGALEK","-9.2","113.1","80","6.8","6.8","9","54","2","3","4"
"1967","INDONESIA","170","INDONESIA:  MAKASSAR STRAIT","-3.7","119.3","33","5.5","5.5","8","58","2","2","2"
"1967","INDONESIA","60","INDONESIA-MALAYSIA:  N SUMATERA,MALAY PENINSULA","5.5","97.3","100","6.1","6.1","","14","1","3","4"
"1967","GREECE","130","GREECE","39.5","21.2","55","5.9","","","9","1","2",""
"1967","ALGERIA","15","ALGERIA:  NEAR SIG","35.5","-0.1","13","5","5","","10","1","1","1"
"1967","TURKEY","140","TURKEY:  MUDURNU, ADAPAZARI","40.7","30.8","4","7.3","","10","86","2","2",""
"1967","TURKEY","140","TURKEY:  TUNCELI","39.5","40.4","8","6.2","","","97","2","3",""
"1967","COLOMBIA","160","COLOMBIA","6.747","-73.03","161","6.8","6.8","8","20","1","2",""
"1967","VENEZUELA","90","VENEZUELA","10.559","-67.33","25","6.6","6.5","8","300","3","4",""
"1967","FRANCE","120","FRANCE:  ARETTE,LANNE,MONTORY,ARAMITS,HAUX,SUNHAR","43.2","-0.5","15","5.3","5.3","8","1","1","2","3"
"1967","TAIWAN","30","TAIWAN:  HUALIEN","24.5","122.2","65","7","7","","2","1","2","1"
"1967","ALBANIA","130","ALBANIA","41.5","20.5","29","6.5","","10","18","1","3",""
"1967","INDIA","60","INDIA","17.412","73.885","15","6.6","","8","180","3","1",""
"1967","CHILE","160","CHILE:  NORTHERN","-21.7","-69.5","33","7.5","7.5","","1","1","2","2"
"1968","ITALY","130","ITALY:  SICILY","37.9","13.1","33","6","6","","216","3","4",""
"1968","ITALY","130","ITALY:  SICILY","37.8","13.2","33","5.1","5.1","","8","1","1",""
"1968","GREECE","130","GREECE:  AEGEAN SEA:  ST EUSTRATIOS","39.368","24.957","15","7.2","7.5","10","20","1","1","3"
"1968","JAPAN","30","JAPAN:  KYUSHU","32","130.6","3","6.3","","","3","1","2",""
"1968","ALGERIA","15","ALGERIA:  EL ALEN (BABORD)","36.08","5.07","","4.9","4.9","8","1","1","2","2"
"1968","KENYA","10","KENYA:  HOMA BAY, USIRI, GOT KOKECH","-0.6","34.4","33","4.6","4.6","","1","1","1",""
"1968","JAPAN","30","JAPAN:  KYUSHU, SHIKOKU","32.3","132.5","30","7.5","7.5","7","1","1","2","2"
"1968","IRAN","140","IRAN:  MAKU,SHAH BANDALU,QURTA BOLAGH,QONDEQLI","39.2","44.3","34","5.3","5.3","7","38","1","2","2"
"1968","JAPAN","30","JAPAN:  OFF EAST COAST OF HONSHU ISLAND","40.8","143.2","7","8.2","","6","52","2","3","3"
"1968","NEW ZEALAND","170","NEW ZEALAND:  SOUTH ISLAND:  NW COAST","-41.7","172","21","7.1","","","3","1","2",""
"1968","PERU","160","PERU:  SAN MARTIN,MOYOBAMBA,YANTALO,RIOJA,LAMAS","-5.6","-77.2","33","7","","","15","1","1",""
"1968","PHILIPPINES","170","PHILIPPINES:  LUZON:  MANILA","16.5","122.2","36","7.3","7.3","","270","3","3","1"
"1968","MEXICO","150","MEXICO:  OAXACA, GUERRERO","16.5","-97.8","36","7.5","","7","18","1","2",""
"1968","IRAN","140","IRAN:  DASHT-E-BAYAZ","34","59","13","7.3","7.3","10","10488","4","4","4"
"1968","IRAN","140","IRAN:  FERDOW","34","58.2","15","6.5","6.5","","700","3","3","4"
"1968","TURKEY","140","TURKEY:  BARTIN, AMASRA, CAKRAZ","41.8","32.3","38","6.6","6.6","8","24","1","3","4"
"1968","VENEZUELA","90","VENEZUELA:  CARUPANO","10.697","-62.748","103","6.5","","9","3","1","2",""
"1968","TURKEY","140","TURKEY","39.2","40.1","14","5.1","","","2","1","3",""
"1968","MEXICO","150","MEXICO-GUATEMALA:  S CHIAPAS","15.5","-92.7","114","5.7","","","20","1","2",""
"1968","MONTENEGRO","130","BALKANS NW:  MONTENEGRO","42.1","19.3","17","5.3","","","1","1","4",""
"1969","IRAN","140","IRAN:  NE KHURASAN PROVINCE","37.1","57.9","11","5.6","","8","50","1","2",""
"1969","CHINA","40","CHINA:  XINJIANG PROVINCE:  WUSHI","41.45","79.367","10","6.3","6.3","7","4","1","3","3"
"1969","INDONESIA","170","INDONESIA:  SULAWESI:  PARASANGA, PALETOANG","-3.1","118.9","13","7.4","7.4","8","64","2","3","4"
"1969","PORTUGAL","130","PORTUGAL; MOROCCO:  RABAT, SALE; SPAIN:  CANARY IS","36.017","-10.95","22","7.8","7.3","7","25","1","2","3"
"1969","TURKEY","140","TURKEY:  ALASEHIR, SARIGOL, KIRAZ","38.6","28.4","9","6.5","","","53","2","3",""
"1969","ETHIOPIA","10","ETHIOPIA:  SARDO","11.9","41.21","35","6.2","6.2","9","40","1","1","3"
"1969","EGYPT","15","EGYPT:  BENI-SOUEF, AL-QAHIRAH (CAIRO)","27.7","34","33","7","7","","2","1","3","3"
"1969","ALBANIA","130","ALBANIA:  SOUTHERN","40.7","19.8","33","5.5","","","1","1","2",""
"1969","CHINA","30","CHINA:  GUANGDONG PROVINCE:  YANGJIANG COUNTY","22.317","111.8","5","6.4","6.4","8","3000","4","4","4"
"1969","SOUTH AFRICA","10","SOUTH AFRICA:  CAPE PROVINCE","-32.9","19.7","33","6.3","6.3","","12","1","3",""
"1969","PERU","160","PERU:  HUAYTAPALLANA, LAMPA, CHILIFRUTA","-11.7","-75.1","43","6.2","","11","150","3","2",""
"1969","USA","150","CALIFORNIA:  SANTA ROSA","38.467","-122.692","10","4.8","4.8","8","1","1","3",""
"1969","BOSNIA-HERZEGOVINA","130","BALKANS NW:  BOSNIA-HERZEGOVINA:  BANJA LUKA","44.9","17.3","33","6","","8","14","1","4",""
"1969","BOSNIA-HERZEGOVINA","130","BALKANS NW:  BOSNIA-HERZEGOVINA:  KAKASI, JABLAN","44.9","17.2","33","6.4","","9","9","1","3",""
"1970","CHINA","30","CHINA:  YUNNAN PROVINCE; VIETNAM:  HANOI","24.1","102.5","31","7.8","7.8","10","10000","4","3","3"
"1970","PHILIPPINES","170","PHILIPPINES:  LUZON, ROMBLON I; TABLAS I:  ODIONGAN","12.6","122.1","11","7.1","7.1","","3","1","2",""
"1970","PERU","160","PERU:  PANAO,CHACLLA,QUERO,AYLLAMARCA,LA LINDA","-9.9","-75.6","35","5.4","5.4","9","12","1","3","3"
"1970","IRAN","140","IRAN:  BADALAN,QERIS,BATCHI,DIZEH,PESAK,HESAR","38.6","44.7","23","4.8","4.8","","5","1","2","3"
"1970","INDIA","60","INDIA:  BROACH","21.7","73","3","5.4","","","26","1","2",""
"1970","TURKEY","140","TURKEY:  GEDIZ","39.2","29.5","20","7.4","7.4","10","1086","4","4","4"
"1970","PHILIPPINES","170","PHILIPPINES:  LUZON","15.78","121.71","40","7.3","7.3","6","15","1","2",""
"1970","RUSSIA","40","RUSSIA:  DAGESTAN","43","47.1","44","6.5","6.5","8","","3","3","2"
"1970","PERU","160","PERU: NORTHERN, PISCO, CHICLAYO","-9.2","-78.8","43","7.9","7.8","10","66794","4","4","3"
"1970","TURKEY","140","TURKEY:  SIVAS","38.8","36.7","27","4.9","4.9","","1","1","2","3"
"1970","IRAN","140","IRAN:  KARNAVEH, MAREV","37.8","55.9","16","6.7","6.7","8","220","3","3","4"
"1970","PERU","160","PERU:  JUIN  PROVINCE FELT ARGENTINA TO MEXICO CITY","-1.5","-72.6","651","7.1","7.1","","1","1","2",""
"1970","PAPUA NEW GUINEA","170","PAPUA NEW GUINEA:  MADANG","-4.907","145.471","8","7.3","7.3","8","15","1","2","3"
"1970","PERU","160","PERU:  N;  ECUADOR:  S","-4","-80.7","25","7.6","7.6","10","82","2","3",""
"1971","ITALY","130","ITALY:  TUSCANIA","42.5","11.8","33","4.6","","8","24","1","4","1"
"1971","USA","150","CALIFORNIA:  SAN FERNANDO","34.412","-118.4","8","6.5","6.5","11","65","2","4",""
"1971","IRAN","140","IRAN:  JAILAN,BOKRAN,HOSSEINABAD,SHARIFABAD","36.6","55.6","39","5.3","5.3","","1","1","2",""
"1971","IRAN","140","IRAN:  TAZARJ,BARGHANY,MADANUIYEH,BARAFTAB,DARAGAH","28.3","55.6","44","5.9","5.9","","1","1","3",""
"1971","TURKEY","140","TURKEY:  BURDUR","37.6","29.8","23","5.9","5.9","6","100","2","3",""
"1971","TURKEY","140","TURKEY:  BINGOL","38.8","40.5","3","6.7","6.7","8","1000","3","2",""
"1971","INDONESIA","60","INDONESIA:  JAVA:  BUARAN,BANTAR KAWSUN,JIPANG","-7.2","109.1","35","5.2","","","1","1","3",""
"1971","CHILE","160","CHILE:  CATALINA, ANTOFAGASTA","-25.5","-69.2","93","6.3","","5","1","1","2",""
"1971","CHILE","160","CHILE:  CENTRAL","-32.5","-71.2","58","7.8","7.5","9","83","2","4","3"
"1971","PAPUA NEW GUINEA","170","PAPUA NEW GUINEA:  NEW IRELAND: BOUGAINVILLE","-5.5","153.9","47","7.9","7.9","9","2","1","1",""
"1971","ITALY","130","ITALY:  PARMA","44.8","10.3","7","5.2","","","2","1","1",""
"1971","PERU","160","PERU-ECUADOR:  GUAYAQUIL","-2.7","-77.4","135","6.3","","7","1","1","2",""
"1971","IRAN","140","IRAN:  BABOL-KENAR","36.3","52.7","27","5.3","5.3","","1","1","2",""
"1971","CHINA","30","CHINA:  SICHUAN PROVINCE:  MABIAN","28.9","103.7","","5.9","5.9","7","","1","1","1"
"1971","PERU","160","PERU:  APURIMAC","-14.1","-73.3","54","5.7","","9","5","1","3",""
"1971","VANUATU","170","VANUATU ISLANDS:  ESPIRITU SANTO, PORT VILA","-15.5","167.2","40","7.1","7.1","7","1","1","3",""
"1972","TAIWAN","30","TAIWAN","22.5","122.3","33","7.5","7.5","6","1","1","1","1"
"1972","ITALY","130","ITALY:  CENTRAL, ANCONA","43.8","13.3","25","4.8","","","1","1","2",""
"1972","PERU","160","PERU:  JUANJUI","-6.8","-76.8","64","6.1","","9","7","1","3",""
"1972","IRAN","140","IRAN:  QIR,KARZIN, JAHROM, FIRUZABAD","28.4","52.8","11","6.9","6.9","9","30000","4","4","4"
"1972","TAIWAN","30","TAIWAN:  HUALIEN","23.6","121.6","33","6.9","6.9","5","4","1","2",""
"1972","ITALY","130","ITALY:  ANCONA","43.8","13.3","4","4.4","","","2","1","4",""
"1972","AFGHANISTAN","40","AFGHANISTAN:  HINDU KUSH:  SARSANGI, NARIN COUNTIES","36.2","69.7","47","6.1","6.1","6","11","1","2","3"
"1972","PAKISTAN","60","PAKISTAN:  TANGIR, GUPIS, RAWALPINDI, PESHAWAR","36","73.4","36","6.2","6.2","","100","2","3","3"
"1972","NICARAGUA","100","NICARAGUA:  MANAGUA","12.4","-86.1","5","6.2","6.2","","10000","4","4",""
"1973","MEXICO","150","MEXICO:  S, FARIAS, TECOMAN","18.48","-103","43","7.5","7.5","","56","2","2","2"
"1973","PHILIPPINES","170","PHILIPPINES:  QUEZON CITY:  CALAUG,LOPEZ,GUIAYANGAN","13.4","122.8","33","7.5","7.5","9","15","1","1",""
"1973","COSTA RICA","100","COSTA RICA: TILARAN, ARENAL, RIO CHIQUITO","10.679","-84.759","33","6.5","6.5","","26","1","1",""
"1973","COLOMBIA","160","COLOMBIA; SAN CRISTOBAL, VENEZUELA","4.956","-78.144","50","6.5","6.5","","1","1","2",""
"1973","MEXICO","150","MEXICO:  VERACRUZ, MEXICO CITY","18.27","-96.6","84","6.2","","7","600","3","3",""
"1973","IRAN","140","IRAN:  QESHLAGH,DEH BID","30.57","52.89","11","5.5","5.5","","1","1","3",""
"1973","AZORES (PORTUGAL)","130","AZORES:  PICO, FAIAL, TERCEIRA","38.46","-28.31","5","5.1","5.1","8","1","1","2",""
"1974","PERU","160","PERU:  LIMA, YAUYOS","-12.3","-76.35","98","6.3","","","10","1","3",""
"1974","COLOMBIA","160","COLOMBIA:  NE, CEPITA, SAN ANDREAS","6.89","-72.93","24","5","","","4","1","2",""
"1974","JAPAN","30","JAPAN:  NAKAGI","34.5","138.7","2","6.5","6.5","9","30","1","2","3"
"1974","CHINA","30","CHINA:  YUNNAN AND SICHUAN PROVINCES, CHAO-T'UNG","28.24","104.01","11","7.1","7.1","","20000","4","3","3"
"1974","VENEZUELA","160","VENEZUELA","10.56","-63.38","34","6.1","6.1","7","5","1","2",""
"1974","COLOMBIA","160","COLOMBIA: BOGOTA, CALI, PEREIRA","7.75","-77.69","12","7.3","7.3","","11","1","1","1"
"1974","JAPAN","30","JAPAN:  HONSHU:  KAKIOTA,  MITO, TOKYO","36","139.82","58","5.7","","6","2","1","2",""
"1974","PERU","160","PERU:  LIMA, CALLAO","-12.27","-77.79","13","8.1","7.6","9","78","2","3","3"
"1974","PAKISTAN","60","PAKISTAN:  BALAKOT, PATAN","35.1","72.9","22","6.2","6.2","7","5300","4","2","3"
"1975","INDIA","60","INDIA:  KASHMIR:   KINNAUR DISTRICT","32.46","78.43","33","6.8","6.8","","47","1","2",""
"1975","CHINA","30","CHINA:  LIAONING PROVINCE:  YINGTAO, ANSHAN","40.64","122.58","33","7.4","7.4","10","300","3","4","4"
"1975","INDONESIA","60","INDONESIA:  JAVA","-6.7","106.7","27","5.6","5.6","8","1","1","2",""
"1975","IRAN","140","IRAN:  SARKHUN,QALEH QAZI,QADHAD,NONG-E-BALA","27.5","56.26","27","6.1","6.1","7","7","1","2","1"
"1975","CHILE","160","CHILE:  COQUIMBO, LA SERENA","-29.9","-71.3","4","6.9","6.9","8","2","1","1",""
"1975","VENEZUELA","160","VENEZUELA","10.04","-69.75","33","6.1","6.1","","3","1","2",""
"1975","MYANMAR (BURMA)","60","MYANMAR (BURMA):  PAGAN","21.49","94.7","157","6.5","","","1","1","1",""
"1975","ALGERIA","15","ALGERIA:  DJEBEL BABOR","36.32","5.241","30","4.3","","","1","1","2",""
"1975","TURKEY","140","TURKEY:  LICE","38.474","40.723","26","6.7","6.7","9","2311","4","3",""
"1975","IRAN","140","IRAN:  SARPIR,DORAHAN,DEH BAGH","31.599","51.037","33","5","5","7","2","1","3",""
"1975","GREECE","130","GREECE:  KATO-MAKRINOU","38.628","21.798","19","5.5","5.5","9","1","1","3",""
"1976","GUATEMALA","90","GUATEMALA:  CHIMALTENANGO, GUATEMALA CITY","15.324","-89.101","5","7.5","7.5","9","23000","4","4",""
"1976","GUATEMALA","100","GUATEMALA","14.767","-91.061","5","5.1","5.1","","4","1","2",""
"1976","AFGHANISTAN","40","AFGHANISTAN:  HINDU-KUSH:  SHAMAGAN PROVINCE","36.61","67.79","33","5.5","5.5","8","49","1","3","4"
"1976","TURKEY","140","TURKEY","41.13","43.01","18","4.8","","","2","1","2",""
"1976","ECUADOR","160","ECUADOR:  ESMERALDOS","0.78","-79.8","9","6.7","6.7","","10","1","2",""
