"Year","Country","Region","Location Name","Latitude","Longitude","Focal Depth (km)","Mag","Ms","MMI Int","Deaths","Death Description","Damage Description","Houses Destroyed Description"
"1042","IRAN","140","IRAN:  TABRIZ","38.1","46.3","15","7.6","","9","50000","4","4",""
"1046","TURKEY","140","TURKEY:  ANI (ARMENIA)","40.5","43.5","15","5.5","","8","","3","3",""
"1057","CHINA","30","CHINA:  BEIJING","39.7","116.3","","6.8","6.8","9","25000","4","4",""
"1058","IRAQ","140","IRAQ:  MOSUL, KIRKUK, HAMADAN, TIKRIT, WASIT, AMAH","34.3","44.7","","","","","","3","3",""
"1063","LEBANON","140","LEBANON:  TARABULUS (TRIPOLIS), TYRE; TURKEY; IRAQ","34.3","35.5","","","","8","","3","3",""
"1065","ITALY","130","ITALY:  SICILY:  CATANIA,MESSINA,MILAZZO,PALE","38.1","15.1","","","","10","975","3","3",""
"1065","IRAN","140","IRAN:  KHORASAN,JABAL","35","58","","","","","","3","3",""
"1066","IRAN","140","IRAN:  KHORASAN","34","58","","","","","","3","3",""
"1067","CHINA","30","CHINA:  GUANGDONG PROVINCE","23.6","116.5","","6.8","6.8","9","","3","4",""
"1068","ISRAEL","140","ISRAEL:  RAMLA,PALESTINE,JERUSALEM,TABUK,KUFA,HALLA","29.5","34.95","","","","9","","3","4","4"
"1068","CHINA","30","CHINA:  HEBEI PROVINCE:  CANGZHOU, HEJIAN","38.5","116.1","","6","6","8","","3","3","3"
"1072","YEMEN","60","YEMEN:  SANA, ZABID; SAUDI ARABIA:  MECCA","14.2","43.3","","","","8","50","1","2","2"
"1076","SYRIA","140","SYRIA:  (MANY COUNTRIES)","35","38","","","","8","","3","3",""
"1085","IRAN","140","IRAN:  ARAJAN,KHUZESTAN","31","49","","","","","","3","3",""
"1086","ITALY","130","ITALY:  SIRACUSA (SYRACUSE)","37","15.3","","","","","1000","3","3",""
"1088","GEORGIA","40","GEORGIA:  TMOGVI","41.4","43.2","10","5.3","","","","3","3",""
"1102","CHINA","30","CHINA:  SHANXI PROVINCE:  CHIN,HSI TAI IN TAI,YUAN","37.5","112.6","","","","","","3","3",""
"1117","ITALY","130","ITALY:  VENEZIA (VENICE) TO EMILIA","44.8","11.3","","","","10","","3","3",""
"1118","UK","120","UNITED KINGDOM:  IRELAND:  SLIABH-ELPA","","","","","","","","3","4",""
"1137","IRAQ","140","IRAQ-SYRIA:  MESOPOTAMIA, MOSUL","36.3","43.1","","","","9","","3","4",""
